Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
ROST,2,2,1377.72,2,4.38,2,45.7,2,6.01,,,,
ROST,3,0,-102.36,1,10.15,0,-58.25,1,9.85,,,,
CMG,1,4,35.3,4,19.63,4,17.34,4,14.83,,,,
CMG,2,0,-6.63,2,13.01,0,-3.26,2,8.68,,,,
CMG,3,0,-6.0,1,23.48,0,-2.04,1,14.65,,,,
F,1,4,709.85,0,-13.21,4,93.59,0,-2.77,,,,
F,2,0,-174.58,0,-10.41,0,-43.56,2,2.27,,,,
F,3,0,-62.79,0,-1.83,0,-13.58,1,3.28,,,,
EBAY,1,4,4.06,0,-0.86,4,7.55,4,0.5,,,,
EBAY,2,2,1.41,2,8.54,2,2.06,2,8.25,,,,
EBAY,3,0,-14.88,1,5.65,0,-15.85,1,6.76,,,,
MAR,1,4,134.75,4,3.79,4,77.48,4,3.03,,,,
MAR,2,0,-76.96,2,9.01,0,-70.36,2,4.36,,,,
MAR,3,0,-41.66,1,39.42,0,-36.08,1,43.88,,,,
APTV,1,4,1467.44,0,-3.07,4,87.14,0,-0.54,,,,
APTV,2,0,-91.86,2,4.19,0,-39.24,2,12.04,,,,
APTV,3,0,-23.14,0,-4.55,0,-10.29,1,4.97,,,,
ORLY,1,4,2.64,4,7.04,4,3.75,4,6.43,,,,
ORLY,2,2,26.33,2,6.76,2,24.84,2,6.22,,,,
ORLY,3,0,-2.17,1,4.69,0,-0.26,1,4.48,,,,
YUM,1,4,31.69,4,6.04,4,20.87,0,-1.6,,,,
YUM,2,0,-8.04,0,-1.88,0,-5.15,0,-3.23,,,,
YUM,3,0,-28.84,1,1.0,0,-25.44,0,-7.52,,,,
BLL,1,4,16.11,0,-1.52,4,10.42,0,-1.38,,,,
BLL,2,2,0.18,2,1.77,2,0.57,2,5.94,,,,
BLL,3,1,1.79,1,22.55,1,2.43,1,21.21,,,,
HLT,1,4,197.53,4,7.53,4,118.75,4,2.67,,,,
HLT,2,0,-80.53,2,9.41,0,-73.13,2,7.76,,,,
HLT,3,0,-34.38,1,26.26,0,-30.76,1,14.61,,,,
VFC,1,4,127.85,4,3.42,4,142.34,4,2.16,,,,
VFC,2,0,-35.13,0,-4.44,0,-25.21,0,-10.66,,,,
VFC,3,0,-52.28,1,29.37,0,-57.48,1,36.9,,,,
AZO,1,0,-30.56,4,6.37,0,-30.61,4,6.48,,,,
AZO,2,2,61.87,2,6.55,2,63.57,2,5.73,,,,
AZO,3,1,9.12,1,4.08,1,10.57,1,3.05,,,,
DHI,1,4,27.04,4,26.61,4,18.74,4,15.45,,,,
DHI,2,2,24.96,2,5.42,2,19.78,2,9.49,,,,
DHI,3,1,13.22,1,22.15,1,11.92,1,14.03,,,,
BBY,1,4,24.71,4,0.87,4,19.61,4,1.77,,,,
BBY,2,2,15.52,2,0.86,2,15.74,2,1.73,,,,
BBY,3,0,-39.26,1,4.62,0,-43.66,1,6.97,,,,
ETSY,1,4,4.4,4,32.56,4,5.3,4,35.56,,,,
ETSY,2,2,117.91,2,41.9,2,88.0,2,36.82,,,,
ETSY,3,0,-18.72,1,20.42,0,-15.53,1,20.9,,,,
LEN,1,4,22.01,4,14.62,4,16.28,4,1.03,,,,
LEN,2,2,22.79,2,3.69,2,11.02,2,8.21,,,,
LEN,3,1,28.3,1,168.14,1,17.36,1,62.67,,,,
IP,1,4,9.94,0,-8.3,4,5.28,0,-3.99,,,,
IP,2,0,-13.0,2,11.67,0,-9.08,2,7.19,,,,
IP,3,0,-9.72,1,13.88,0,-2.66,1,11.53,,,,
LVS,1,4,130.29,4,0.39,4,497.96,4,0.07,,,,
LVS,2,0,-135.54,2,8.46,0,-94.5,2,7.86,,,,
LVS,3,0,-86.64,1,13.3,0,-49.22,1,12.93,,,,
AMCR,1,0,-9.1,4,40.93,0,-1.45,4,31.82,,,,
AMCR,2,2,10.35,0,-3.11,2,0.05,2,1.49,,,,
AMCR,3,1,5.62,0,-2.88,1,3.22,1,2.4,,,,
TSCO,1,0,-18.05,4,6.26,0,-17.94,4,5.57,,,,
TSCO,2,2,74.94,2,8.45,2,62.12,2,9.02,,,,
TSCO,3,0,-10.86,1,7.17,0,-10.61,1,7.03,,,,
EXPE,1,4,537.85,4,6.98,4,165.72,4,7.52,,,,
EXPE,2,0,-88.8,2,11.5,0,-74.38,2,11.56,,,,
EXPE,3,0,-27.79,1,15.69,0,-19.59,1,14.66,,,,
KMX,1,0,-10.17,4,8.88,0,-3.16,4,11.9,,,,
KMX,2,2,121.99,2,6.15,2,60.97,2,6.5,,,,
KMX,3,0,-48.38,1,7.75,0,-33.06,1,8.05,,,,
DRI,1,4,4.68,0,-23.83,4,8.45,0,-8.27,,,,
DRI,2,2,2769.52,2,5.94,2,20.26,2,5.33,,,,
DRI,3,0,-98.05,1,11.21,0,-45.87,1,12.69,,,,
ULTA,1,4,65.81,4,24.48,4,26.39,4,10.15,,,,
ULTA,2,2,8.37,2,14.9,2,4.67,2,14.14,,,,
ULTA,3,0,-66.62,1,20.01,0,-49.12,1,21.21,,,,
DPZ,1,4,0.87,4,7.15,4,5.18,4,5.42,,,,
DPZ,2,2,3.0,2,9.03,2,5.37,2,23.13,,,,
DPZ,3,0,-24.5,1,12.8,0,-24.1,1,12.75,,,,
NVR,1,4,34.44,4,5.47,4,22.75,4,3.32,,,,
NVR,2,2,16.14,2,12.5,2,2.16,2,13.72,,,,
NVR,3,0,-32.46,1,18.54,0,-20.48,1,8.35,,,,
POOL,1,0,-11.99,4,6.29,0,-11.06,4,6.72,,,,
POOL,2,2,96.95,2,8.06,2,89.11,2,7.53,,,,
POOL,3,1,17.02,1,8.66,1,16.33,1,8.46,,,,
Gpc,1,4,18.41,4,5.56,4,14.3,4,3.51,,,,
Gpc,2,0,-7.04,2,21.96,0,-6.58,2,14.88,,,,
Gpc,3,0,-12.42,1,6.67,0,-13.04,1,6.32,,,,
TIF,1,4,39.34,0,-1.71,4,34.95,0,-0.41,,,,
TIF,2,2,49.35,2,7.67,2,34.49,2,6.53,,,,
TIF,3,0,-64.03,1,4.47,0,-59.09,1,4.2,,,,
RCL,1,0,-30.07,4,20.41,0,-119.18,4,15.34,,,,
RCL,2,0,-184.18,2,9.03,0,-91.36,2,8.16,,,,
RCL,3,0,-47.88,1,11.5,0,-19.25,1,3.31,,,,
PKG,1,4,3.14,0,-0.98,4,9.87,0,-0.72,,,,
PKG,2,0,-8.45,2,12.88,0,-9.78,2,8.84,,,,
PKG,3,0,-4.57,1,14.81,0,-0.66,1,11.52,,,,
MGM,1,4,568.78,4,9.33,4,299.69,4,9.92,,,,
MGM,2,0,-110.38,2,5.21,0,-87.3,2,9.06,,,,
MGM,3,0,-36.63,1,16.36,0,-30.02,1,14.47,,,,
FBHS,1,4,20.23,4,4.83,4,20.08,4,5.1,,,,
FBHS,2,0,-2.13,2,2.03,0,-1.92,2,3.82,,,,
FBHS,3,0,-9.67,1,7.31,0,-4.61,1,5.99,,,,
PHM,1,4,15.27,0,-1.81,4,13.92,4,0.24,,,,
PHM,2,2,18.66,2,20.66,2,13.02,2,18.78,,,,
PHM,3,0,-21.27,1,4.34,0,-23.93,1,11.74,,,,
WHR,1,4,83.04,0,-0.11,4,30.9,0,-2.94,,,,
WHR,2,0,-9.86,0,-1.8,0,-6.54,0,-1.02,,,,
WHR,3,0,-33.21,0,-2.44,0,-19.64,1,2.58,,,,
HAS,1,4,96.97,4,3.24,4,106.52,4,3.07,,,,
HAS,2,0,-23.23,0,-14.56,0,-22.19,0,-12.1,,,,
HAS,3,0,-10.48,1,2.47,0,-22.58,1,3.78,,,,
WRK,1,4,14.0,0,-10.74,4,5.55,0,-3.88,,,,
WRK,2,0,-4.85,2,6.53,0,-4.74,2,12.31,,,,
WRK,3,1,6.4,1,23.68,1,0.53,1,9.59,,,,
CCL,1,0,-41.61,4,1.62,0,-95.81,4,10.3,,,,
CCL,2,0,-130.19,2,6.54,0,-84.55,2,7.83,,,,
CCL,3,1,33.08,1,4.38,1,0.15,1,6.84,,,,
AAP,1,4,2.88,4,0.76,4,1.62,4,1.34,,,,
AAP,2,0,-6.56,2,3.45,0,-7.28,2,2.21,,,,
AAP,3,1,28.19,0,-4.01,1,27.7,0,-2.03,,,,
WYNN,1,4,205.47,0,-5.67,4,332.28,0,-1.59,,,,
WYNN,2,0,-130.22,2,12.37,0,-91.01,2,10.67,,,,
WYNN,3,0,-60.71,1,49.82,0,-42.32,1,39.68,,,,
LKQ,1,4,17.97,4,6.14,4,16.04,4,5.3,,,,
LKQ,2,0,-16.25,2,20.4,0,-12.48,2,21.98,,,,
LKQ,3,1,2.63,1,13.36,0,-0.3,1,13.43,,,,
BWA,1,4,197.13,0,-5.78,4,77.7,0,-3.44,,,,
BWA,2,0,-61.07,2,5.44,0,-37.43,2,7.46,,,,
BWA,3,0,-17.98,1,9.66,0,-10.94,1,8.03,,,,
LB,1,4,71.59,0,-3.51,4,31.74,0,-2.44,,,,
LB,2,2,105.71,2,1.43,2,40.21,2,4.79,,,,
LB,3,0,-85.59,0,-2.51,0,-64.86,1,0.46,,,,
ROL,1,4,3.53,4,10.22,4,5.49,4,10.65,,,,
ROL,2,2,25.75,2,8.56,2,13.41,2,8.82,,,,
ROL,3,0,-5.94,1,6.6,0,-3.57,1,6.39,,,,
TPR,1,4,63.65,0,-17.74,4,63.99,0,-17.68,,,,
TPR,2,0,-29.56,2,2.94,0,-33.36,2,2.5,,,,
TPR,3,0,-40.54,1,28.56,0,-40.93,1,31.01,,,,
MHK,1,4,72.36,0,-4.56,4,25.62,0,-0.13,,,,
MHK,2,0,-33.14,0,-4.77,0,-10.32,2,5.19,,,,
MHK,3,0,-6.11,1,6.83,0,-5.72,1,5.94,,,,
NCLH,1,0,-35.5,4,4.52,0,-61.5,4,6.73,,,,
NCLH,2,0,-212.71,2,14.81,0,-98.64,2,12.21,,,,
NCLH,3,0,-57.41,1,15.24,0,-15.79,1,10.71,,,,
SEE,1,4,3.74,4,4.17,4,7.47,4,1.23,,,,
SEE,2,0,-0.15,2,6.37,0,-1.93,2,6.08,,,,
SEE,3,0,-9.04,1,0.79,0,-9.62,1,5.94,,,,
PVH,1,4,24.68,4,1.71,4,34.0,4,2.61,,,,
PVH,2,2,32.65,2,8.5,2,17.61,2,8.32,,,,
PVH,3,0,-52.36,1,11.99,0,-48.32,1,8.68,,,,
LEG,1,4,82.78,4,17.55,4,42.89,4,11.31,,,,
LEG,2,0,-34.37,2,1.18,0,-19.17,2,8.26,,,,
LEG,3,0,-18.2,0,-2.08,0,-8.68,1,5.17,,,,
RL,1,4,126.86,0,-2.07,4,144.82,0,-2.43,,,,
RL,2,0,-53.51,2,3.56,0,-61.74,2,2.11,,,,
