Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
SNMP,1,2,127.14,0,-1016.87,2,114.92,0,-63.2,-136.7,0.0,485.28,2.0
SNMP,2,0,-318.64,0,-98.36,0,-259.19,0,-119.49,-75.13,0.0,-33.15,0.0
SSY,1,2,239.81,2,280.93,0,-83.99,2,434.44,-89.4,0.0,-14.0,0.0
SSY,2,0,-87.6,0,-260.65,0,-1346.3,1,106.22,-23.68,0.0,-80.92,0.0
SVM,1,0,-95.0,0,-268.73,0,-85.98,0,-2550.0,-9.1,0.0,-11.95,0.0
SVM,2,1,473.64,0,-355.26,1,356.2,0,-93.03,150.0,1.0,-285.13,0.0
SVT,1,0,-193.68,0,-98.37,0,-88.79,2,0.13,-1250.41,0.0,-125.37,0.0
SVT,2,0,-179.75,1,8134.62,0,-52.12,1,109.05,-92.81,0.0,745.6,1.0
TGB,1,0,-103.88,0,-22.38,0,-124.3,0,-52.97,-27.0,0.0,-79.17,0.0
TGB,2,1,1096.6,0,-118.43,1,328.41,0,-120.98,-60.77,0.0,-195.65,0.0
TGC,1,2,101.9,0,-139.36,2,186.37,0,-164.45,-26.16,0.0,-136.19,0.0
TGC,2,0,-6136.17,1,8852.08,0,-175.46,1,10470.83,-37.5,0.0,483.35,1.0
TKAT,1,0,-189.78,0,-57.81,0,-240.4,0,-82.87,-49.28,0.0,-91.89,0.0
TKAT,2,1,14.24,0,-40.15,1,27.42,0,-5.42,-373.38,0.0,-392.11,0.0
TMP,1,0,-111.38,0,-176.19,0,-111.38,0,-176.19,64.53,2.0,-99.34,0.0
TMP,2,0,-87.41,0,-102.55,0,-87.41,0,-102.55,123.98,1.0,555.86,1.0
TPHS,1,0,-212.96,0,-267.45,0,-144.61,0,-96.84,-102.02,0.0,-72.0,0.0
TPHS,2,0,-1685.67,1,226.44,1,148.3,1,602.99,1779.89,1.0,-238.97,0.0
TRT,1,2,156.87,0,-25.28,0,-69.71,0,-61.58,-66.89,0.0,-213.42,0.0
TRT,2,0,-314.72,0,-223.81,0,-202.53,0,-175.3,-54.46,0.0,332.25,1.0
TRXC,1,0,-41.12,0,-108.16,2,164.67,0,-127.04,-478.78,0.0,-79.07,0.0
TRXC,2,0,-43.57,1,13497.14,1,172.43,0,-35.1,-55.66,0.0,-640.43,0.0
UAVS,1,2,24831.17,2,1.62,2,4791.82,2,2570.8,-95.61,0.0,-1.33,0.0
UAVS,2,0,-150.17,1,392.53,0,-189.44,0,-89.71,-2663.61,0.0,-68.29,0.0
