Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
ETSY.OQ,2,2,583.65,P,2,88.0,P,2,117.91,P,2,24.92,P,2,36.82,P,2,41.9,P
ETSY.OQ,3,0,-53.03,P,0,-15.53,P,0,-18.72,P,1,296.76,P,1,20.9,P,1,20.42,P
LEN,1,4,36.04,P,4,11.02,P,4,27.67,P,0,-3.12,P,4,8.21,P,4,20.48,P
LEN,2,2,22.93,P,2,17.36,P,2,36.52,P,2,60.89,P,2,62.67,P,2,39.23,P
LEN,3,0,-40.06,P,0,-35.38,P,0,-44.63,P,0,-4.23,P,1,15.49,P,1,9.23,P
IP,1,0,-3.64,P,4,5.28,P,4,9.94,P,0,-14.23,P,0,-3.99,P,0,-8.27,P
IP,2,0,-5.83,P,0,-9.08,P,0,-11.17,P,2,40.69,P,2,7.19,P,2,11.47,P
IP,3,1,30.52,P,0,-2.66,P,0,-11.43,P,1,31.38,P,1,11.53,P,1,27.82,P
LVS,1,4,35.44,N,4,497.96,P,4,130.29,P,0,-11.55,P,4,0.07,P,4,2.25,P
LVS,2,0,-36326.33,N,0,-94.5,P,0,-135.54,N,2,16.47,P,2,7.86,P,2,5.56,P
LVS,3,0,-99.67,P,0,-49.22,P,0,-56.98,P,1,31.87,P,1,12.93,P,1,14.57,P
AMCR.N,1,0,-1.47,P,0,-1.45,P,0,-9.1,P,0,-5.91,P,4,31.82,P,4,40.93,P
AMCR.N,2,2,13.05,P,2,0.05,P,2,10.35,P,0,-10.21,P,2,1.49,P,0,-3.11,P
AMCR.N,3,0,-2.74,P,1,3.22,P,1,5.62,P,0,-9.89,P,1,2.4,P,0,-2.88,P
TSCO.OQ,1,0,-46.33,P,0,-17.94,P,0,-18.05,P,4,8.02,P,4,5.57,P,4,6.26,P
TSCO.OQ,2,2,329.33,P,2,62.12,P,2,74.94,P,2,29.3,P,2,9.02,P,2,8.45,P
TSCO.OQ,3,0,-37.15,P,0,-10.61,P,0,-10.86,P,1,2.08,P,1,7.03,P,1,7.17,P
EXPE.OQ,1,4,81.84,N,4,165.72,P,4,537.85,P,4,34.02,P,4,7.52,P,4,6.98,P
EXPE.OQ,2,0,-4.0,N,0,-74.38,P,0,-88.8,P,2,18.31,P,2,11.56,P,2,11.5,P
EXPE.OQ,3,0,-880.37,N,0,-19.59,P,0,-27.79,P,1,4.29,P,1,14.66,P,1,15.7,P
KMX,1,0,-20.76,P,0,-3.49,P,0,-16.05,P,4,11.19,P,4,11.81,P,4,9.75,P
KMX,2,2,1480.74,P,2,66.38,P,2,112.36,P,2,30.7,P,2,6.15,P,2,6.52,P
KMX,3,0,-110.01,N,0,-34.94,P,0,-47.36,P,1,12.35,P,1,7.84,P,1,6.67,P
DRI,1,4,158.6,P,4,8.45,P,4,4.68,P,0,-58.45,P,0,-8.27,P,0,-23.36,P
DRI,2,2,115.61,P,2,20.26,P,2,2769.52,P,2,39.91,P,2,5.33,P,2,5.2,P
DRI,3,0,-196.04,N,0,-45.87,P,0,-98.05,P,1,10.96,P,1,12.69,P,1,11.57,P
ULTA.OQ,1,4,128.6,P,4,26.39,P,4,65.81,P,4,11.03,P,4,10.15,P,4,11.28,P
ULTA.OQ,2,2,161.34,P,2,4.67,P,2,8.37,P,2,14.27,P,2,14.14,P,2,14.9,P
ULTA.OQ,3,0,-129.97,N,0,-49.12,P,0,-62.37,P,1,46.89,P,1,21.21,P,1,20.01,P
DPZ,1,0,-16.06,P,4,5.18,P,4,1.37,P,4,16.16,P,4,5.42,P,4,7.66,P
DPZ,2,0,-2.66,P,2,5.37,P,2,4.98,P,2,40.59,P,2,23.13,P,2,50.43,P
DPZ,3,0,-1.68,P,0,-24.1,P,0,-23.95,P,1,36.49,P,1,12.75,P,1,12.8,P
NVR,1,4,53.21,P,4,22.75,P,4,34.7,P,4,13.58,P,4,3.32,P,4,5.41,P
NVR,2,0,-5.48,P,2,2.16,P,2,15.05,P,2,37.53,P,2,13.72,P,2,12.44,P
NVR,3,0,-30.31,P,0,-20.48,P,0,-31.64,P,1,36.61,P,1,8.36,P,1,18.21,P
POOL.OQ,1,0,-24.64,P,0,-11.06,P,0,-11.99,P,4,13.82,P,4,6.72,P,4,6.29,P
POOL.OQ,2,2,311.54,P,2,89.11,P,2,96.95,P,2,32.89,P,2,7.53,P,2,8.06,P
POOL.OQ,3,1,114.04,P,1,16.33,P,1,17.02,P,1,22.12,P,1,8.46,P,1,8.66,P
GPC,1,4,3339.96,P,4,14.3,P,4,18.41,P,4,5.64,P,4,3.51,P,4,5.56,P
GPC,2,0,-105.51,N,0,-6.58,P,0,-7.04,P,2,18.6,P,2,14.88,P,2,21.96,P
GPC,3,0,-19.65,P,0,-13.04,P,0,-12.42,P,0,-1.45,P,1,6.32,P,1,6.67,P
TIF,1,4,273.04,P,4,34.95,P,4,39.41,P,0,-3.67,P,0,-0.41,P,0,-1.75,P
TIF,2,2,149.18,P,2,34.49,P,2,49.39,P,2,11.93,P,2,6.53,P,2,7.67,P
TIF,3,0,-132.45,N,0,-59.09,P,0,-64.04,P,1,15.74,P,1,4.2,P,1,4.83,P
RCL,1,4,11.47,N,0,-119.18,N,4,33.75,N,4,2.04,P,4,15.34,P,4,17.97,P
RCL,2,0,-308.7,N,0,-91.36,P,0,-184.18,N,2,17.78,P,2,8.16,P,2,9.03,P
RCL,3,0,-223.5,N,0,-19.25,P,0,-46.4,P,1,26.66,P,1,3.31,P,1,11.5,P
PKG,1,4,43.85,P,4,9.87,P,4,4.07,P,0,-6.22,P,0,-0.72,P,0,-0.08,P
PKG,2,0,-27.77,P,0,-9.78,P,0,-9.27,P,2,37.13,P,2,8.84,P,2,11.76,P
PKG,3,1,3.26,P,0,-0.66,P,0,-4.57,P,1,20.29,P,1,11.52,P,1,15.4,P
MGM,1,4,30.53,N,4,288.5,P,4,568.78,P,0,-42.74,P,4,9.66,P,4,9.33,P
MGM,2,0,-751.83,N,0,-87.14,P,0,-110.38,N,0,-11.57,P,2,8.94,P,2,5.21,P
MGM,3,0,-132.8,N,0,-29.27,P,0,-36.63,P,0,-35.59,P,1,13.92,P,1,16.36,P
FBHS.N,1,4,24.7,P,4,20.08,P,4,20.23,P,4,7.55,P,4,5.1,P,4,4.42,P
FBHS.N,2,2,11.6,P,0,-1.92,P,0,-2.09,P,2,5.51,P,2,3.82,P,2,1.98,P
FBHS.N,3,1,0.39,P,0,-4.61,P,0,-7.97,P,1,12.09,P,1,5.99,P,1,7.05,P
PHM,1,0,-26.89,P,0,-39.56,P,0,-37.16,P,4,3.08,P,4,0.24,P,4,1.01,P
PHM,2,2,157.53,P,2,113.02,P,2,119.81,P,2,76.91,P,2,18.84,P,2,27.72,P
PHM,3,0,-33.99,P,0,-23.93,P,0,-21.56,P,1,12.66,P,1,11.8,P,0,-4.2,P
WHR,1,4,318.94,P,4,30.9,P,4,83.04,P,4,144.47,P,0,-2.94,P,0,-0.11,P
WHR,2,0,-32.67,P,0,-6.54,P,0,-9.86,P,0,-50.51,P,0,-1.02,P,0,-1.8,P
WHR,3,0,-59.36,P,0,-19.64,P,0,-33.21,P,0,-5.55,P,1,2.58,P,0,-2.44,P
HAS.OQ,1,4,925.33,P,4,106.52,P,4,94.15,P,4,1.96,P,4,3.07,P,4,5.07,P
HAS.OQ,2,0,-198.21,N,0,-22.19,P,0,-30.18,P,0,-27.11,P,0,-12.1,P,0,-14.2,P
HAS.OQ,3,0,-89.93,P,0,-22.58,P,1,4.99,P,1,29.25,P,1,3.78,P,1,2.43,P
WRK,1,4,61.42,P,4,5.55,P,4,5.64,P,4,-0.0,P,0,-3.88,P,0,-14.72,P
WRK,2,2,37.77,P,0,-4.74,P,0,-4.32,P,2,9.44,P,2,12.31,P,2,11.51,P
WRK,3,0,-14.29,P,1,0.53,P,0,-0.52,P,1,21.22,P,1,9.59,P,1,23.68,P
CCL,1,4,4.66,N,0,-95.81,P,0,-2.83,N,0,-1.41,P,4,10.3,P,4,1.62,P
CCL,2,0,-799.54,N,0,-84.55,P,0,-156.15,N,2,18.27,P,2,7.83,P,2,11.16,P
